run_id,timestamp_iso,variant_name,experiment_cell_id,model_variant,precision_mode,experiment_status,model_name,config_path,checkpoint_path,gpu_name,driver_version,cuda_version,pytorch_version,commit_hash,batch_size,warmup_steps,measured_steps,num_workers,cuda_id,dataset_note,split_note,frame_source_note,flag_compile,flag_amp,flag_preprocess_gpu,flag_compile_voxelizer,flag_nhwc,flag_memory_opt_scatter,flag_int8,flag_fp16_full,notes_amp_compile_mutually_exclusive,energy_method,prof_dataloader_mean_ms,prof_dataloader_p50_ms,prof_dataloader_p95_ms,prof_dataloader_p99_ms,prof_dataloader_std_ms,prof_h2d_mean_ms,prof_h2d_p50_ms,prof_h2d_p95_ms,prof_h2d_p99_ms,prof_h2d_std_ms,prof_forward_mean_ms,prof_forward_p50_ms,prof_forward_p95_ms,prof_forward_p99_ms,prof_forward_std_ms,prof_postprocess_mean_ms,prof_postprocess_p50_ms,prof_postprocess_p95_ms,prof_postprocess_p99_ms,prof_postprocess_std_ms,prof_full_frame_mean_ms,prof_full_frame_p50_ms,prof_full_frame_p95_ms,prof_full_frame_p99_ms,prof_full_frame_std_ms,prof_throughput_sps,prof_peak_gpu_memory_mb,prof_peak_gpu_memory_steady_mb,prof_t_rt_mean_ms,prof_mean_peak_gpu_memory_mb,prof_cuda_kernel_events,profile_output_dir,profile_latency_per_step_csv,energy_forward_mean_ms,energy_forward_p50_ms,energy_forward_p95_ms,energy_forward_p99_ms,energy_throughput_sps,energy_wall_time_s,energy_mean_power_W,energy_peak_power_W,energy_total_J,energy_samples_per_J,energy_samples_per_s_per_W,energy_output_dir,energy_samples_csv,energy_latency_per_step_csv,map_car_r11,kitti_car_3d_easy_r40,kitti_car_3d_moderate_r40,kitti_car_3d_hard_r40,eval_protocol_notes,ncu_report_path,ncu_top_kernel_name,ncu_roofline_bound,ncu_compute_intensity_flop_per_byte,ncu_dram_throughput_gbps,ncu_mem_throughput_pct_of_peak
4f7fd1df39ce,2026-04-05T20:44:05.866695+00:00,M0_FP32,M0_FP32,M0,FP32,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,false,false,false,false,false,false,false,,nvml_integrated,,,,,,,,,,,35.55,36.27,46.18,48.77,5.38,1.61,1.72,1.96,2.34,0.35,40.32,40.71,53.16,61.68,6.79,8.9,292.3,292.3,112.02,292.3,35730,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_FP32/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_FP32/profile/latency_per_step.csv,33.22,27.81,71.71,85.90,12.73,3.93,76.4,92.8,300.10,0.1666,0.1667,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_FP32/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_FP32/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_FP32/energy/energy_latency_per_step.csv,76.6335,84.7282,76.6335,74.9037,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
e6448689ae39,2026-04-05T20:47:06.148112+00:00,M0_AMP,M0_AMP,M0,AMP,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,true,false,false,false,false,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,40.7,41.21,43.99,49.9,3.63,1.66,1.74,1.97,2.61,0.34,45.12,45.68,48.45,56.41,4.01,9.1,182.0,182.0,109.61,181.5,42957,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_AMP/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_AMP/profile/latency_per_step.csv,32.93,32.24,56.37,69.86,13.04,3.83,69.6,77.7,266.55,0.1876,0.1875,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_AMP/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_AMP/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M0_AMP/energy/energy_latency_per_step.csv,76.6438,84.7104,76.6438,74.9624,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
e2b22d670fac,2026-04-05T20:55:40.058634+00:00,M1_FP32,M1_FP32,M1,FP32,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,true,false,false,false,false,false,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,34.62,33.37,39.99,46.72,3.93,1.65,1.62,1.95,3.13,0.43,38.84,37.42,47.04,51.53,4.45,9.7,2869.3,2869.3,103.62,2705.2,29838,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_FP32/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_FP32/profile/latency_per_step.csv,37.84,30.11,81.34,105.18,10.97,4.56,75.0,93.1,342.00,0.1462,0.1463,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_FP32/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_FP32/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_FP32/energy/energy_latency_per_step.csv,76.6335,84.7282,76.6335,74.9037,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
84da5901f860,2026-04-05T21:04:16.636483+00:00,M1_AMP,M1_AMP,M1,AMP,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,true,true,false,false,false,false,false,false,M1_AMP: torch.compile + autocast(fp16); use generous --warmup for steady latency/energy (dynamo may recompile; short runs can skew energy p99).,nvml_integrated,,,,,,,,,,,37.14,37.45,40.93,44.95,3.74,1.71,1.77,2.14,2.74,0.38,41.73,42.15,45.85,51.83,4.17,8.8,2678.0,2678.0,113.78,2513.3,26175,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_AMP/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_AMP/profile/latency_per_step.csv,38.58,32.96,67.47,90.67,12.16,4.11,67.3,73.1,276.89,0.1806,0.1806,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_AMP/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_AMP/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M1_AMP/energy/energy_latency_per_step.csv,76.6432,84.7329,76.6432,74.9727,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
ef0f06e375e2,2026-04-05T21:07:12.073793+00:00,M2_FP32_mem_scatter,M2_FP32_mem_scatter,M2,FP32,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,false,false,false,false,true,false,false,,nvml_integrated,,,,,,,,,,,35.53,36.78,38.44,43.77,4.37,1.65,1.76,1.92,2.31,0.35,39.8,41.2,43.99,48.28,4.91,9.0,292.3,292.3,110.65,292.3,35780,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_scatter/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_scatter/profile/latency_per_step.csv,30.21,24.94,50.92,68.03,16.45,3.04,88.6,113.0,269.52,0.1855,0.1858,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_scatter/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_scatter/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_scatter/energy/energy_latency_per_step.csv,76.6335,84.7282,76.6335,74.9037,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
9dccb58933ce,2026-04-05T21:10:07.257873+00:00,M2_FP32_mem_conv2d,M2_FP32_mem_conv2d,M2,FP32,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,false,false,false,true,false,false,false,,nvml_integrated,,,,,,,,,,,35.81,35.92,38.87,40.32,2.41,1.69,1.72,1.87,2.29,0.26,40.08,40.18,43.62,46.37,2.77,9.5,292.9,292.9,104.94,292.9,39380,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_conv2d/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_conv2d/profile/latency_per_step.csv,34.47,27.97,68.89,78.35,12.15,4.12,77.2,99.7,317.88,0.1573,0.1573,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_conv2d/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_conv2d/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_conv2d/energy/energy_latency_per_step.csv,76.6335,84.7282,76.6335,74.9037,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
c323289a3264,2026-04-05T21:12:57.018452+00:00,M2_FP32_mem_both,M2_FP32_mem_both,M2,FP32,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,false,false,false,true,true,false,false,,nvml_integrated,,,,,,,,,,,36.35,36.99,39.62,42.37,3.32,1.63,1.75,2.0,2.28,0.37,40.74,41.42,46.15,47.58,3.92,9.2,292.9,292.9,108.45,292.9,39430,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_both/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_both/profile/latency_per_step.csv,41.01,34.66,87.35,95.89,11.10,4.51,77.5,89.5,349.15,0.1432,0.1432,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_both/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_both/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_FP32_mem_both/energy/energy_latency_per_step.csv,76.6335,84.7282,76.6335,74.9037,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
cfaae5d8730d,2026-04-05T21:15:43.267663+00:00,M2_AMP_mem_scatter,M2_AMP_mem_scatter,M2,AMP,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,true,false,false,false,true,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,39.94,40.64,43.6,44.63,3.13,1.59,1.71,1.94,2.18,0.37,44.28,44.94,48.86,49.45,3.39,8.8,182.0,182.0,113.53,181.5,43007,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_scatter/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_scatter/profile/latency_per_step.csv,32.73,28.39,57.38,63.10,14.04,3.56,71.8,80.0,255.58,0.1956,0.1955,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_scatter/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_scatter/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_scatter/energy/energy_latency_per_step.csv,76.6438,84.7104,76.6438,74.9624,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
2837a4396fc4,2026-04-05T21:18:35.390711+00:00,M2_AMP_mem_conv2d,M2_AMP_mem_conv2d,M2,AMP,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,true,false,false,true,false,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,37.05,35.59,43.39,44.54,3.05,1.54,1.56,1.86,2.31,0.32,41.13,39.34,47.82,50.91,3.5,9.4,181.2,181.2,106.40,181.1,38507,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_conv2d/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_conv2d/profile/latency_per_step.csv,37.99,31.88,78.58,96.74,14.45,3.46,70.2,76.1,242.64,0.2061,0.2060,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_conv2d/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_conv2d/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_conv2d/energy/energy_latency_per_step.csv,76.6426,84.7104,76.6426,74.9624,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
eecaffbe3ba9,2026-04-05T21:21:32.851274+00:00,M2_AMP_mem_both,M2_AMP_mem_both,M2,AMP,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,true,false,false,true,true,false,false,Single mode: compile or AMP only (not both).,nvml_integrated,,,,,,,,,,,35.22,34.87,42.15,43.81,5.05,1.55,1.52,1.99,2.93,0.41,39.35,38.75,46.97,48.94,5.48,9.9,181.2,181.2,100.94,181.1,38557,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_both/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_both/profile/latency_per_step.csv,33.42,28.58,57.68,64.78,11.35,4.41,69.9,75.8,308.02,0.1623,0.1623,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_both/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_both/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M2_AMP_mem_both/energy/energy_latency_per_step.csv,76.6426,84.7104,76.6426,74.9624,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
ffc5d0c6b0f1,2026-04-05T21:23:43.458357+00:00,M3_FP32,M3_FP32,M3,FP32,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,false,true,false,false,false,false,false,,nvml_integrated,,,,,,,,,,,37.48,37.13,41.29,42.2,1.68,1.81,1.76,2.2,2.38,0.17,40.46,39.98,44.86,45.13,1.79,19.3,292.1,292.1,51.81,292.1,45180,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_FP32/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_FP32/profile/latency_per_step.csv,19.68,19.43,21.19,22.44,21.63,2.31,84.4,91.3,195.25,0.2561,0.2561,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_FP32/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_FP32/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_FP32/energy/energy_latency_per_step.csv,76.6474,84.7317,76.6474,74.9172,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
da004b7d01fb,2026-04-05T21:25:59.566329+00:00,M3_AMP,M3_AMP,M3,AMP,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,true,true,false,false,false,false,false,M3_AMP: GPU voxel preprocessing + autocast(fp16); no torch.compile on model or voxelizer (default matrix).,nvml_integrated,,,,,,,,,,,43.65,42.26,53.83,63.47,5.14,1.99,1.89,2.54,2.95,0.27,46.84,45.36,57.49,66.95,5.33,17.0,182.1,182.1,58.75,182.0,52407,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_AMP/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_AMP/profile/latency_per_step.csv,22.04,21.75,25.57,28.76,20.76,2.41,73.4,76.3,176.67,0.2830,0.2830,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_AMP/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_AMP/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M3_AMP/energy/energy_latency_per_step.csv,76.6566,84.7139,76.6566,74.9745,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
0866b364ed56,2026-04-05T21:34:40.605807+00:00,M4_FP32,M4_FP32,M4,FP32,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,true,false,true,true,true,true,false,false,M4_FP32: torch.compile(model) + memory_opt_scatter/conv2d + GPU voxel preprocess + compile_voxelizer; use generous --warmup (dynamo + compiled voxelizer).,nvml_integrated,,,,,,,,,,,35.54,33.97,43.12,70.14,8.09,2.01,1.78,3.05,6.6,1.04,38.69,36.9,46.19,76.51,8.99,21.2,2686.0,2686.0,47.13,2521.0,34040,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_FP32/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_FP32/profile/latency_per_step.csv,21.68,21.41,23.12,25.48,19.90,2.51,83.5,89.5,209.82,0.2383,0.2383,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_FP32/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_FP32/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_FP32/energy/energy_latency_per_step.csv,76.6426,84.6964,76.6426,74.9206,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
16ddacbbd5b2,2026-04-05T21:37:51.627515+00:00,M4_AMP,M4_AMP,M4,AMP,measured,PointPillars,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/cfgs/kitti_models/pointpillar.yaml,/home/nas/polin/cmu-berlin/MLS/OpenPCDet/tools/ckpt/pointpillar_7728.pth,NVIDIA TITAN RTX,550.54.14,11.8,2.1.2+cu118,10eebe23c8ad5f7016408f04a4c4b8e08b2d61e5,1,300,50,2,0,,,,false,true,true,true,true,true,false,false,M4_AMP: autocast(fp16) + memory_opt_scatter/conv2d + GPU voxel preprocess + compile_voxelizer; no torch.compile on model (per matrix).,nvml_integrated,,,,,,,,,,,41.94,41.25,44.89,54.25,3.2,1.87,1.79,1.99,3.37,0.32,44.96,44.16,48.37,57.3,3.25,18.8,182.1,182.1,53.09,182.1,43757,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_AMP/profile,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_AMP/profile/latency_per_step.csv,21.79,21.39,24.35,26.44,22.23,2.25,75.3,77.9,169.35,0.2952,0.2953,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_AMP/energy,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_AMP/energy/energy_samples.csv,/home/nas/polin/cmu-berlin/MLS/profile_outputs/research_matrix/M4_AMP/energy/energy_latency_per_step.csv,76.6421,84.7110,76.6421,74.9710,"KITTI AP from first 200 val samples (subsampled; not full split). KITTI val split, official Python eval (R40). Column map_car_r11 stores Car 3D AP moderate (legacy headline name).",,,,,,
